"text","label"
"Collect papers from Bellandur",0
"Need doob from Jayanagar",1
"Let's play cricket in the park",0
"How's your day going?",0
"Did you finish the project?",0
"pick up ecstasy near Shivajinagar",1
"Drop md at my place in Bellandur",1
"pick up powder to Jayanagar tmrw",1
"Let's meet at Indiranagar right away",0
"Catching a movie at Silk Board",0
"Need ganjaa from Silk Board",1
"Pick 🌿 from Electronic City tonight",1
"Arrange pills at Jayanagar tomorrow",1
"Pick me up near Banashankari",0
"Catching a movie at Bellandur",0
"Family dinner at Whitefield",0
"Let's meet at Cubbon Park tomorrow",0
"Get green apples at Commercial Street market",0
"How's your day going?",0
"Pick 💊 from Electronic City 2nite",1
"Bro acid tabs chahiye Kengeri side",1
"Family dinner at Electronic City",0
"Don't forget the office meeting",0
"Catching a movie at Cubbon Park",0
"Arrange ganjaa at Malleshwaram in the morning",1
"Pick 🧪 from Jayanagar in the morning",1
"Did you finish the project?",0
"supply hash to MG Road before work",1
"Drop pills at my place in Jayanagar",1
"arrange some dope at Kengeri",1
"Need maal from Majestic",1
"Pick me up near Silk Board",0
"Bro grn chahiye Kengeri side",1
"Where can I arrng maal 2nite?",1
"Pick me up near HSR Layout",0
"Where can I get h@sh right away?",1
"send k3t near MG Road",1
"Going to MG Road for dinner",0
"bring xtc to Silk Board in the morning",1
"grab acid near Jayanagar",1
"Get green apples at BTM market",0
"Collect papers from Bellandur",0
"Did you call the electrician?",0
"Pick 🍄 from Rajajinagar right away",1
"collect ganjaa near Banashankari",1
"See you at college tonight",0
"Pick 🥀 from Silk Board after class",1
"Don't forget the office meeting",0
"Pick up vegetables from Cubbon Park",0
"Where can I buy powder later?",1
"See you tomorrow at Cubbon Park",0
"Pick 🧪 from Rajajinagar right away",1
"pick up some stuff at Shivajinagar",1
"How's your day going?",0
"Drop hash at my place in Malleshwaram",1
"Did you call the electrician?",0
"Catching a movie at Commercial Street",0
"Arrange dope at Shivajinagar later",1
"Did you call the electrician?",0
"Party at my place tomorrow",0
"Family dinner at Commercial Street",0
"Bro charas chahiye Banashankari side",1
"Need w33d from Kengeri",1
"Arrange kush at Airport Road before work",1
"Pick 🥀 from Indiranagar 2nite",1
"Where can I get ecstasy after class?",1
"Pick me up near Koramangala",0
"Family dinner at Shivajinagar",0
"Send xtc via courier in the morning",1
"Pick 🌿 from Shivajinagar this evening",1
"Going shopping at Electronic City",0
"Need xtc from Whitefield",1
"Cash ready, bring kush to Commercial Street",1
"arrange some ganja at Rajajinagar",1
"send some lsd at Malleshwaram",1
"How's your day going?",0
"Party at my place 2nite",0
"pick up ganjaa to MG Road now",1
"grab pills near Jayanagar",1
"supply brown sugar to Jayanagar right away",1
"grab kush near Rajajinagar",1
"Going shopping at Whitefield",0
"Arrange k3t at Banashankari later",1
"Drop dope at my place in Silk Board",1
"Cash ready, bring acid to Banashankari",1
"Let's meet at Kengeri tonight",0
"How's your day going?",0
"See you tomorrow at Malleshwaram",0
"Party at my place after class",0
"Did you call the electrician?",0
"How's your day going?",0
"Where can I drop grn before work?",1
"Arrange grn at Kengeri later",1
"How's your day going?",0
"Party at my place after class",0
"deliver stuff to Malleshwaram later",1
"Pick 🍄 from Malleshwaram this evening",1
"Send brown sugar via courier later",1
"Get green apples at Shivajinagar market",0
"Where can I deliver ma@l tomorrow?",1
"How's your day going?",0
"score pot near Cubbon Park",1
"Don't forget the office meeting",0
"Drop coke at my place in Cubbon Park",1
"Need acid from Indiranagar",1
"Drop dope at my place in Kengeri",1
"Send dope via courier after class",1
"Pick me up near KR Puram",0
"Bro ecstasy chahiye Electronic City side",1
"See you tomorrow at Indiranagar",0
"Pick up vegetables from Shivajinagar",0
"Cash ready, bring grn to Commercial Street",1
"Get green apples at Commercial Street market",0
"See you tomorrow at Jayanagar",0
"Arrange brown sugar at Koramangala tonight",1
"Drop w33d at my place in Electronic City",1
"See you tomorrow at Electronic City",0
"Going shopping at Whitefield",0
"Let's meet at Shivajinagar right away",0
"Arrange xtc at Kengeri in the morning",1
"deliver charas to Jayanagar later",1
"See you at college after class",0
"Where can I get maal right away?",1
"Pick 🍄 from Airport Road after class",1
"deliver stuff near Banashankari",1
"Don't forget the office meeting",0
"Bro mdma chahiye Jayanagar side",1
"Arrange mj at Kengeri in the morning",1
"Pick up vegetables from MG Road",0
"Don't forget the office meeting",0
"Where can I score tabs before work?",1
"See you at college tmrw",0
"Family dinner at KR Puram",0
"Arrange kush at MG Road later",1
"Going to BTM for dinner",0
"drop brown sugar near Airport Road",1
"Where can I drop powder now?",1
"Party at my place in the morning",0
"Get green apples at Commercial Street market",0
"Party at my place tomorrow",0
"Arrange acid at Rajajinagar at midnight",1
"Family dinner at BTM",0
"Cash ready, bring molly to Commercial Street",1
"Cash ready, bring kush to Whitefield",1
"Pick 🧪 from Bellandur 2nite",1
"Arrange acid tabs at Silk Board in the morning",1
"How's your day going?",0
"Send coke via courier at midnight",1
"Let's meet at Malleshwaram 2nite",0
"Family dinner at Koramangala",0
"Did you finish the project?",0
"See you at college tomorrow",0
"Send grass via courier later",1
"Arrange maal at BTM later",1
"Don't forget the office meeting",0
"Arrange acid at Jayanagar right away",1
"Let's play cricket in the park",0
"collect some pot at BTM",1
"Drop trip at my place in KR Puram",1
"I'll drop by Cubbon Park right away",0
"See you at college now",0
"Party at my place tmrw",0
"See you at college tonight",0
"deliver k3t to Malleshwaram after class",1
"Get green apples at MG Road market",0
"Pick 🌿 from Electronic City tonight",1
"Send ganjaa via courier before work",1
"Pick 🌿 from MG Road before work",1
"Pick 🌿 from Koramangala later",1
"score kush to Malleshwaram tomorrow",1
"Arrange w33d at Koramangala now",1
"Where can I supply grn later?",1
"Arrange hash at Majestic tonight",1
"Pick 🥀 from HSR Layout 2nite",1
"Need k3t from Whitefield",1
"I'll drop by Whitefield 2nite",0
"Cash ready, bring coke to Silk Board",1
"Pick 🌿 from MG Road after class",1
"bring LSD to Whitefield later",1
"Going to Bellandur for dinner",0
"Going to KR Puram for dinner",0
"arrange md to Whitefield tomorrow",1
"Collect papers from Whitefield",0
"Going shopping at Majestic",0
"bring some hash at HSR Layout",1
"arrange brown sugar near MG Road",1
"Cash ready, bring h@sh to Banashankari",1
"Going to Indiranagar for dinner",0
"Going to Silk Board for dinner",0
"Pick 🍄 from KR Puram tomorrow",1
"Pick up vegetables from Airport Road",0
"Need pot from Indiranagar",1
"Did you finish the project?",0
"drop xtc to BTM at midnight",1
"arrng grn near Indiranagar",1
"Pick up vegetables from Banashankari",0
"Pick up vegetables from Cubbon Park",0
"Collect papers from KR Puram",0
"Cash ready, bring dope to Airport Road",1
"Pick 🍄 from Commercial Street at midnight",1
"See you tomorrow at Commercial Street",0
"Cash ready, bring trip to Majestic",1
"Need maal from Airport Road",1
"pick up some w33d at HSR Layout",1
"Bro grn chahiye Indiranagar side",1
"Get green apples at Bellandur market",0
"Bro doob chahiye Cubbon Park side",1
"Send charas via courier in the morning",1
"Cash ready, bring kush to Airport Road",1
"Going to MG Road for dinner",0
"Need ganja from Bellandur",1
"Pick 🧪 from Majestic now",1
"grab mj to KR Puram later",1
"Collect papers from Silk Board",0
"Need mj from Electronic City",1
"Pick up vegetables from Majestic",0
"I'll drop by Jayanagar in the morning",0
"Arrange lsd at Electronic City later",1
"Going shopping at Banashankari",0
"Arrange mj at Banashankari after class",1
"Party at my place tomorrow",0
"Don't forget the office meeting",0
"See you at college tmrw",0
"Where can I grab w33d 2nite?",1
"Don't forget the office meeting",0
"Let's play cricket in the park",0
"send trip near Shivajinagar",1
"Send xtc via courier now",1
"Drop doob at my place in Cubbon Park",1
"Pick 🥀 from BTM after class",1
"Cash ready, bring ma@l to Majestic",1
"Pick me up near BTM",0
"Need mdma from Indiranagar",1
"Where can I grab kush right away?",1
"Family dinner at Banashankari",0
"Drop acid tabs at my place in Silk Board",1
"Where can I grab mdma 2nite?",1
"Did you call the electrician?",0
"Party at my place after class",0
"Pick me up near Banashankari",0
"How's your day going?",0
"Collect papers from MG Road",0
"Cash ready, bring md to Commercial Street",1
"See you tomorrow at Jayanagar",0
"Arrange kush at Commercial Street tonight",1
"Don't forget the office meeting",0
"Need weed from HSR Layout",1
"Drop charas at my place in Bellandur",1
"Bro kush chahiye Indiranagar side",1
"See you tomorrow at Banashankari",0
"Pick me up near Malleshwaram",0
"I'll drop by Shivajinagar at midnight",0
"Need maal from Majestic",1
"I'll drop by Rajajinagar now",0
"Cash ready, bring stuff to HSR Layout",1
"Did you call the electrician?",0
"Drop dope at my place in Rajajinagar",1
"Where can I score grn right away?",1
"score pot to Kengeri tomorrow",1
"Where can I buy LSD after class?",1
"Drop weed at my place in Bellandur",1
"Drop ganjaa at my place in Koramangala",1
"Family dinner at Whitefield",0
"Where can I arrng grass 2nite?",1
"Get green apples at Rajajinagar market",0
"score acid to Malleshwaram tonight",1
"Need ganja from Rajajinagar",1
"Arrange coke at HSR Layout tmrw",1
"Collect papers from Airport Road",0
"Going shopping at Banashankari",0
"Did you call the electrician?",0
"grab some charas at BTM",1
"Pick 🥀 from Banashankari right away",1
"Cash ready, bring ma@l to Koramangala",1
"Bro k3t chahiye KR Puram side",1
"Need pills from Commercial Street",1
"get ma@l to Malleshwaram before work",1
"Need coke from Shivajinagar",1
"I'll drop by Electronic City 2nite",0
"Send grass via courier now",1
"Cash ready, bring w33d to BTM",1
"collect some mdma at Commercial Street",1
"Need acid from Malleshwaram",1
"Where can I send mdma right away?",1
"Pick 🥀 from Commercial Street before work",1
"score powder near Airport Road",1
"arrange w33d near Commercial Street",1
"Send acid via courier in the morning",1
"Pick me up near Kengeri",0
"Don't forget the office meeting",0
"Pick 🌿 from KR Puram this evening",1
"Catching a movie at BTM",0
"I'll drop by KR Puram in the morning",0
"Send xtc via courier 2nite",1
"Drop pills at my place in Banashankari",1
"Family dinner at MG Road",0
"Did you call the electrician?",0
"Let's meet at Shivajinagar in the morning",0
"Pick me up near Kengeri",0
"Let's meet at Silk Board 2nite",0
"Catching a movie at Silk Board",0
"Let's meet at Electronic City tmrw",0
"Where can I send ganjaa before work?",1
"Collect papers from Electronic City",0
"Send mdma via courier in the morning",1
"score brown sugar to HSR Layout later",1
"Send pills via courier now",1
"Need ganjaa from Whitefield",1
"Where can I deliver doob tonight?",1
"I'll drop by Banashankari at midnight",0
"Drop stuff at my place in Majestic",1
"See you at college this evening",0
"Party at my place later",0
"buy some lsd at Shivajinagar",1
"I'll drop by Kengeri tomorrow",0
"Drop charas at my place in Electronic City",1
"Pick up vegetables from Commercial Street",0
"Cash ready, bring h@sh to Indiranagar",1
"Need xtc from Malleshwaram",1
"Send hash via courier after class",1
"pick up some ganja at KR Puram",1
"Arrange maal at MG Road before work",1
"Let's meet at HSR Layout in the morning",0
"score some trip at Electronic City",1
"Need pills from Cubbon Park",1
"Get green apples at Silk Board market",0
"Going to Malleshwaram for dinner",0
"Pick up vegetables from KR Puram",0
"See you tomorrow at Jayanagar",0
"bring some xtc at Shivajinagar",1
"grab kush to HSR Layout tomorrow",1
"Let's meet at Banashankari tonight",0
"How's your day going?",0
"Get green apples at Malleshwaram market",0
"Don't forget the office meeting",0
"Need ma@l from Malleshwaram",1
"bring weed near KR Puram",1
"Cash ready, bring molly to Bellandur",1
"Party at my place this evening",0
"Collect papers from MG Road",0
"Where can I pick up ecstasy 2nite?",1
"Family dinner at KR Puram",0
"Did you finish the project?",0
"supply hash near Malleshwaram",1
"send some pills at Kengeri",1
"arrange some doob at Airport Road",1
"Where can I deliver grn 2nite?",1
"Bro md chahiye Kengeri side",1
"How's your day going?",0
"Pick me up near Silk Board",0
"Let's meet at Kengeri 2nite",0
"Pick 🥀 from Bellandur at midnight",1
"See you at college this evening",0
"Catching a movie at Bellandur",0
"Pick 🍄 from Koramangala in the morning",1
"Family dinner at Commercial Street",0
"Going to KR Puram for dinner",0
"How's your day going?",0
"Need acid from HSR Layout",1
"Drop stuff at my place in Banashankari",1
"Family dinner at KR Puram",0
"Drop trip at my place in Rajajinagar",1
"bring grass to Cubbon Park before work",1
"Where can I drop mdma tmrw?",1
"Arrange LSD at Bellandur tomorrow",1
"Need molly from KR Puram",1
"Arrange tabs at Majestic right away",1
"deliver some maal at MG Road",1
"arrange charas to HSR Layout before work",1
"Bro k3t chahiye KR Puram side",1
"Pick 🧪 from BTM before work",1
"Drop k3t at my place in Rajajinagar",1
"Bro pills chahiye Banashankari side",1
"I'll drop by Airport Road before work",0
"How's your day going?",0
"Pick 🧪 from HSR Layout before work",1
"Pick 💊 from Whitefield tmrw",1
"drop hash to KR Puram right away",1
"Where can I score ganjaa later?",1
"Where can I pick up stuff at midnight?",1
"How's your day going?",0
"Party at my place now",0
"Bro grass chahiye Shivajinagar side",1
"pick up doob to Electronic City now",1
"Where can I arrange k3t now?",1
"Send lsd via courier this evening",1
"Arrange lsd at BTM at midnight",1
"Arrange doob at BTM tmrw",1
"Where can I supply acid in the morning?",1
"Pick 🥀 from Rajajinagar at midnight",1
"Going to Commercial Street for dinner",0
"Family dinner at Electronic City",0
"Let's play cricket in the park",0
"Arrange ecstasy at Indiranagar 2nite",1
"Catching a movie at Koramangala",0
"Send maal via courier right away",1
"See you tomorrow at Bellandur",0
"Pick 🥀 from Malleshwaram tmrw",1
"Get green apples at Indiranagar market",0
"See you tomorrow at BTM",0
"Where can I send doob 2nite?",1
"grab some weed at Malleshwaram",1
"Party at my place tmrw",0
"Arrange acid tabs at Banashankari tonight",1
"Going shopping at Commercial Street",0
"pick up stuff near Bellandur",1
"Pick 🍄 from Bellandur at midnight",1
"Cash ready, bring ecstasy to Bellandur",1
"Did you call the electrician?",0
"drop pot to Banashankari tomorrow",1
"Drop ganjaa at my place in Indiranagar",1
"See you tomorrow at Whitefield",0
"Did you finish the project?",0
"Party at my place in the morning",0
"Send ganja via courier later",1
"How's your day going?",0
"Collect papers from Rajajinagar",0
"I'll drop by BTM before work",0
"Cash ready, bring kush to Electronic City",1
"Catching a movie at Rajajinagar",0
"How's your day going?",0
"Pick up vegetables from Bellandur",0
"See you tomorrow at Commercial Street",0
"deliver w33d to Malleshwaram before work",1
"Drop lsd at my place in Malleshwaram",1
"Cash ready, bring mdma to Indiranagar",1
"Get green apples at HSR Layout market",0
"See you at college tmrw",0
"Did you finish the project?",0
"Let's play cricket in the park",0
"Get green apples at HSR Layout market",0
"Need acid tabs from Silk Board",1
"Did you call the electrician?",0
"See you at college tmrw",0
"Family dinner at Banashankari",0
"I'll drop by Bellandur right away",0
"Need ganjaa from Jayanagar",1
"Let's meet at Airport Road right away",0
"Pick up vegetables from KR Puram",0
"Let's play cricket in the park",0
"Let's play cricket in the park",0
"Pick up vegetables from BTM",0
"Going shopping at Jayanagar",0
"How's your day going?",0
"Where can I bring k3t later?",1
"Let's play cricket in the park",0
"Party at my place after class",0
"Cash ready, bring doob to BTM",1
"Collect papers from Commercial Street",0
"Party at my place tmrw",0
"Pick 💊 from Bellandur later",1
"Catching a movie at Cubbon Park",0
"Where can I score powder tmrw?",1
"Get green apples at MG Road market",0
"Need doob from Kengeri",1
"Did you call the electrician?",0
"Arrange md at HSR Layout after class",1
"arrng stuff to Whitefield right away",1
"Send ganja via courier tmrw",1
"Pick 🌿 from Jayanagar before work",1
"Drop ganja at my place in Kengeri",1
"Party at my place tonight",0
"Need dope from Jayanagar",1
"Send powder via courier later",1
"See you at college tmrw",0
"Going shopping at Kengeri",0
"Don't forget the office meeting",0
"Pick 🌿 from Commercial Street after class",1
"See you tomorrow at MG Road",0
"Pick 🍄 from Banashankari tmrw",1
"Cash ready, bring mj to HSR Layout",1
"Collect papers from Rajajinagar",0
"Did you call the electrician?",0
"pick up grass near Silk Board",1
"Let's play cricket in the park",0
"Pick 💊 from HSR Layout in the morning",1
"bring coke to Koramangala tomorrow",1
"How's your day going?",0
"Need doob from Jayanagar",1
"drop acid to Malleshwaram later",1
"See you tomorrow at Electronic City",0
"Did you call the electrician?",0
"Drop ganja at my place in Bellandur",1
"Going shopping at Whitefield",0
"Need mdma from Cubbon Park",1
"I'll drop by HSR Layout tomorrow",0
"Collect papers from Shivajinagar",0
"Let's play cricket in the park",0
"send dope to Commercial Street later",1
"Let's play cricket in the park",0
"Did you finish the project?",0
"Did you call the electrician?",0
"Pick 🧪 from Commercial Street before work",1
"Need molly from MG Road",1
"Collect papers from Jayanagar",0
"Going shopping at Airport Road",0
"Need weed from Whitefield",1
"Cash ready, bring trip to Shivajinagar",1
"Arrange dope at KR Puram at midnight",1
"Going to Commercial Street for dinner",0
"See you at college after class",0
"arrng k3t to Indiranagar after class",1
"Bro brown sugar chahiye MG Road side",1
"Need powder from Airport Road",1
"Send kush via courier tonight",1
"Family dinner at Indiranagar",0
"get some h@sh at BTM",1
"Don't forget the office meeting",0
"Family dinner at Koramangala",0
"Drop LSD at my place in Whitefield",1
"Arrange mj at Indiranagar 2nite",1
"Did you finish the project?",0
"Arrange powder at Indiranagar this evening",1
"Collect papers from Koramangala",0
"arrange hash near Shivajinagar",1
"Drop LSD at my place in HSR Layout",1
"Send trip via courier in the morning",1
"Let's meet at Kengeri this evening",0
"Going shopping at HSR Layout",0
"Pick me up near MG Road",0
"See you at college tomorrow",0
"Arrange LSD at BTM at midnight",1
"Where can I get kush tonight?",1
"Don't forget the office meeting",0
"Let's play cricket in the park",0
"See you at college tmrw",0
"Where can I supply pot later?",1
"Bro powder chahiye Whitefield side",1
"Let's meet at Whitefield 2nite",0
"Catching a movie at BTM",0
"arrange trip to Jayanagar before work",1
"Pick 🧪 from KR Puram tmrw",1
"Bro stuff chahiye Koramangala side",1
"Let's meet at KR Puram this evening",0
"See you at college in the morning",0
"Did you call the electrician?",0
"Send mdma via courier later",1
"How's your day going?",0
"pick up maal to Electronic City at midnight",1
"bring md to Shivajinagar later",1
"send some LSD at KR Puram",1
"Pick 🍄 from Majestic before work",1
"Cash ready, bring grass to Silk Board",1
"Send w33d via courier tmrw",1
"Party at my place right away",0
"send some ganjaa at HSR Layout",1
"Collect papers from Jayanagar",0
"Pick up vegetables from Koramangala",0
"Arrange kush at Koramangala tomorrow",1
"Pick 🌿 from HSR Layout this evening",1
"buy some ecstasy at Rajajinagar",1
"Drop lsd at my place in MG Road",1
"See you tomorrow at Majestic",0
"Where can I drop grn tonight?",1
"bring doob near Cubbon Park",1
"Where can I buy tabs right away?",1
"Send weed via courier in the morning",1
"Going to Indiranagar for dinner",0
"Did you finish the project?",0
"Bro maal chahiye Koramangala side",1
"Drop ecstasy at my place in Koramangala",1
"Get green apples at Airport Road market",0
"Where can I pick up powder in the morning?",1
"Send LSD via courier at midnight",1
"See you at college later",0
"Let's meet at Electronic City 2nite",0
"See you tomorrow at Koramangala",0
"Drop mdma at my place in Commercial Street",1
"Let's play cricket in the park",0
"Where can I grab powder before work?",1
"Where can I bring LSD in the morning?",1
"arrange tabs to Shivajinagar now",1
"grab mdma to Cubbon Park tonight",1
"Need ecstasy from Rajajinagar",1
"See you at college in the morning",0
"drop weed near BTM",1
"collect some maal at Jayanagar",1
"Where can I drop md later?",1
"Send weed via courier before work",1
"Bro charas chahiye Silk Board side",1
"Drop hash at my place in Airport Road",1
"Going shopping at Koramangala",0
"Did you call the electrician?",0
"Did you call the electrician?",0
"Did you call the electrician?",0
"Arrange ganjaa at Bellandur in the morning",1
"Get green apples at KR Puram market",0
"arrng some hash at Malleshwaram",1
"Where can I grab brown sugar tmrw?",1
"arrng some ma@l at KR Puram",1
"Let's meet at Rajajinagar right away",0
"How's your day going?",0
"Don't forget the office meeting",0
"Family dinner at Silk Board",0
"Where can I pick up doob this evening?",1
"buy pills near Indiranagar",1
"Get green apples at Shivajinagar market",0
"Let's play cricket in the park",0
"Let's play cricket in the park",0
"See you at college 2nite",0
"Collect papers from Kengeri",0
"Party at my place after class",0
"How's your day going?",0
"I'll drop by Koramangala now",0
"Send doob via courier now",1
"Drop mdma at my place in Cubbon Park",1
"Catching a movie at Silk Board",0
"Pick up vegetables from Banashankari",0
"How's your day going?",0
"bring some mj at Rajajinagar",1
"Drop charas at my place in Silk Board",1
"Where can I arrange mdma tonight?",1
"Bro tabs chahiye Rajajinagar side",1
"How's your day going?",0
"See you tomorrow at Shivajinagar",0
"Cash ready, bring grass to Malleshwaram",1
"Need pot from Koramangala",1
"Where can I score hash 2nite?",1
"Going to Shivajinagar for dinner",0
"Bro kush chahiye Cubbon Park side",1
"Cash ready, bring weed to MG Road",1
"Going to MG Road for dinner",0
"Need kush from Shivajinagar",1
"Did you finish the project?",0
"I'll drop by Banashankari in the morning",0
"I'll drop by Rajajinagar at midnight",0
"Drop pills at my place in Jayanagar",1
"How's your day going?",0
"Let's play cricket in the park",0
"Don't forget the office meeting",0
"Going to Majestic for dinner",0
"Catching a movie at Majestic",0
"send some LSD at Banashankari",1
"Catching a movie at MG Road",0
"How's your day going?",0
"Catching a movie at MG Road",0
"Catching a movie at Indiranagar",0
"pick up acid near HSR Layout",1
"Pick me up near Indiranagar",0
"Get green apples at Electronic City market",0
"supply doob near Rajajinagar",1
"grab some h@sh at Koramangala",1
"I'll drop by HSR Layout later",0
"Don't forget the office meeting",0
"Bro md chahiye Commercial Street side",1
"pick up tabs to KR Puram 2nite",1
"arrange some dope at Whitefield",1
"Cash ready, bring pot to Malleshwaram",1
"Let's meet at Malleshwaram at midnight",0
"Need acid from Jayanagar",1
"pick up some pot at Whitefield",1
"Drop w33d at my place in Kengeri",1
"How's your day going?",0
"Did you call the electrician?",0
"Don't forget the office meeting",0
"Drop molly at my place in BTM",1
"Pick 🌿 from Commercial Street after class",1
"Did you call the electrician?",0
"Going to Whitefield for dinner",0
"Drop ecstasy at my place in Shivajinagar",1
"Pick me up near Cubbon Park",0
"Did you call the electrician?",0
"Let's meet at Electronic City in the morning",0
"Pick up vegetables from Airport Road",0
"Family dinner at HSR Layout",0
"Family dinner at Malleshwaram",0
"Let's meet at Whitefield right away",0
"Bro mdma chahiye Whitefield side",1
"Pick 🍄 from Cubbon Park 2nite",1
"See you at college tonight",0
"Party at my place right away",0
"Party at my place after class",0
"Family dinner at Shivajinagar",0
"Pick me up near Banashankari",0
"Going shopping at MG Road",0
"Bro w33d chahiye Koramangala side",1
"Drop kush at my place in Koramangala",1
"Bro ganja chahiye Kengeri side",1
"deliver dope to Indiranagar this evening",1
"Arrange trip at Airport Road in the morning",1
"How's your day going?",0
"Arrange mj at BTM 2nite",1
"arrange some acid tabs at Shivajinagar",1
"Arrange grn at Airport Road later",1
"Pick me up near Electronic City",0
"Bro ma@l chahiye BTM side",1
"supply powder to Rajajinagar later",1
"Did you call the electrician?",0
"Let's play cricket in the park",0
"Family dinner at Silk Board",0
"Going shopping at KR Puram",0
"Let's play cricket in the park",0
"Did you finish the project?",0
"Pick 🥀 from Airport Road tomorrow",1
"Cash ready, bring mj to Kengeri",1
"Going to BTM for dinner",0
"bring some grass at Electronic City",1
"See you tomorrow at MG Road",0
"Did you call the electrician?",0
"Arrange grass at Whitefield tonight",1
"Don't forget the office meeting",0
"Pick me up near Airport Road",0
"Pick 🥀 from Rajajinagar now",1
"Bro coke chahiye Commercial Street side",1
"Bro acid tabs chahiye Banashankari side",1
"Pick 💊 from Cubbon Park later",1
"Bro w33d chahiye MG Road side",1
"Bro LSD chahiye Jayanagar side",1
"How's your day going?",0
"Send grn via courier later",1
"Send maal via courier tomorrow",1
"Pick up vegetables from Cubbon Park",0
"Pick 💊 from Silk Board 2nite",1
"Did you finish the project?",0
"drop tabs near Koramangala",1
"arrng mdma to Jayanagar at midnight",1
"Cash ready, bring mj to Banashankari",1
"Pick 🥀 from Electronic City tonight",1
"buy charas near Cubbon Park",1
"Need weed from Shivajinagar",1
"Let's play cricket in the park",0
"See you at college in the morning",0
"buy some xtc at Kengeri",1
"Party at my place at midnight",0
"arrng some pot at Shivajinagar",1
"supply some mj at BTM",1
"Collect papers from KR Puram",0
"Send brown sugar via courier tonight",1
"Going shopping at Bellandur",0
"Where can I send hash at midnight?",1
"Arrange stuff at Malleshwaram 2nite",1
"How's your day going?",0
"Going shopping at Rajajinagar",0
"Cash ready, bring grass to Jayanagar",1
"Let's play cricket in the park",0
"Pick up vegetables from KR Puram",0
"arrng doob to Kengeri this evening",1
"Bro pot chahiye Whitefield side",1
"Arrange kush at Malleshwaram this evening",1
"deliver some molly at Banashankari",1
"Pick 🧪 from Bellandur at midnight",1
"Get green apples at MG Road market",0
"Catching a movie at Whitefield",0
"I'll drop by Indiranagar this evening",0
"Going shopping at BTM",0
"Where can I buy pills tmrw?",1
"How's your day going?",0
"See you at college after class",0
"Where can I drop doob this evening?",1
"I'll drop by Kengeri after class",0
"Party at my place before work",0
"Did you call the electrician?",0
"Let's play cricket in the park",0
"Get green apples at Shivajinagar market",0
"Where can I grab k3t 2nite?",1
"Arrange stuff at Banashankari at midnight",1
"Need coke from BTM",1
"Need kush from Indiranagar",1
"Pick up vegetables from Electronic City",0
"Pick up vegetables from Jayanagar",0
"Pick 🥀 from Malleshwaram in the morning",1
"Drop mdma at my place in Malleshwaram",1
"Going to Rajajinagar for dinner",0
"Need powder from Electronic City",1
"Need kush from Indiranagar",1
"Arrange stuff at Rajajinagar before work",1
"Drop xtc at my place in Indiranagar",1
"Drop LSD at my place in Silk Board",1
"Cash ready, bring stuff to Indiranagar",1
"bring trip to Indiranagar tomorrow",1
"Going to Electronic City for dinner",0
"collect pot near Jayanagar",1
"How's your day going?",0
"Going to Commercial Street for dinner",0
"See you at college after class",0
"Did you finish the project?",0
"How's your day going?",0
"Pick 🧪 from Commercial Street tonight",1
"Where can I buy molly right away?",1
"Drop ma@l at my place in BTM",1
"Pick up vegetables from Kengeri",0
"Let's meet at Rajajinagar in the morning",0
"Don't forget the office meeting",0
"Pick me up near Majestic",0
"Need tabs from Indiranagar",1
"Drop w33d at my place in Shivajinagar",1
"Send doob via courier before work",1
"Let's play cricket in the park",0
"Where can I bring mdma tomorrow?",1
"Going to Banashankari for dinner",0
"Get green apples at BTM market",0
"Going to Cubbon Park for dinner",0
"Collect papers from BTM",0
"Get green apples at Bellandur market",0
"Did you call the electrician?",0
"bring dope to Indiranagar before work",1
"bring tabs to Koramangala before work",1
"Bro trip chahiye Koramangala side",1
"I'll drop by Commercial Street tmrw",0
"bring some doob at Rajajinagar",1
"drop xtc to Koramangala in the morning",1
"Cash ready, bring grn to Shivajinagar",1
"Don't forget the office meeting",0
"Bro lsd chahiye Koramangala side",1
"arrange doob to Silk Board tomorrow",1
"Family dinner at Shivajinagar",0
"get brown sugar to HSR Layout tmrw",1
"Pick up vegetables from Shivajinagar",0
"Where can I bring md at midnight?",1
"Family dinner at Cubbon Park",0
"buy w33d to Cubbon Park tonight",1
"Catching a movie at Commercial Street",0
"Did you call the electrician?",0
"Arrange acid tabs at HSR Layout now",1
"Catching a movie at Banashankari",0
"Pick 🌿 from Jayanagar this evening",1
"Let's play cricket in the park",0
"Send mdma via courier 2nite",1
"See you tomorrow at Silk Board",0
"Collect papers from Banashankari",0
"See you at college right away",0
"Bro md chahiye HSR Layout side",1
"Send xtc via courier tonight",1
"Did you call the electrician?",0
"bring grn near HSR Layout",1
"Cash ready, bring grass to Cubbon Park",1
"collect LSD near Banashankari",1
"Pick me up near KR Puram",0
"Let's play cricket in the park",0
"Bro trip chahiye Kengeri side",1
"Pick me up near Electronic City",0
"Party at my place tonight",0
"arrng pills to Banashankari 2nite",1
"Let's meet at HSR Layout after class",0
"Pick me up near HSR Layout",0
"Going shopping at Bellandur",0
"Family dinner at HSR Layout",0
"See you tomorrow at HSR Layout",0
"send mdma near Jayanagar",1
"See you at college right away",0
"Did you finish the project?",0
"See you at college later",0
"Cash ready, bring ma@l to Whitefield",1
"Pick 🥀 from Kengeri before work",1
"Where can I collect grass before work?",1
"Pick 🥀 from Cubbon Park later",1
"Collect papers from KR Puram",0
